symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CAMTA1	0.36303093617289295	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.5246780522720296	0.04451843542027504	No data	No data	0	0	0	0	0	0.7071150000000003	No data	-0.9388858246001103	-0.4580197190296931	0	No data	-1	0	-1	-1
IKBKB	0.3628359256662082	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.5380484740550545	No data	No data	0.75	0	0	1	1	0	0.6296300000000002	1	-0.7180364037506894	-0.9195895077555788	0	-1	-1	0	-1	-1
CXCR4	0.36273887733153753	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	0.14353921610274387	No data	No data	No data	0.9405950445834034	0.14079259150103549	No data	1	1	0	1	1	1	0.5596600000000003	0	-0.6726971869829013	-0.9769384931214039	0	No data	-1	0	0.5	-1
FBXW7	0.36262231438873305	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.565713381110814	No data	No data	No data	No data	No data	No data	No data	0.5159320284294545	0.2239285320036448	No data	No data	0	0	0	0	0	0	No data	-0.9670159955874241	-0.9413885914346167	0	No data	-1	0	0.5	-1
MED12	0.3620642015439771	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	0.2518127692312091	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.86449	No data	No data	-0.863672744051105	0	No data	-1	-0.021589999999999953	-1	-1
SND1	0.3607051988358469	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.4679507971901129	No data	No data	No data	0	0	0	0	0	0.8681300000000001	No data	-0.8095973524544953	-0.6348918476936577	0	No data	No data	0	-1	-1
ITGAV	0.3595890820917506	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3799567485072632	No data	No data	No data	0.49263173019499795	No data	No data	No data	0.1744118102139543	No data	No data	1	0	0	1	1	1	0.61355	0	-0.2754550468836183	-0.9320913091335248	0	No data	No data	0	-1	-1
EBF1	0.3592778162353657	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.4209920773460476	No data	No data	No data	0	0	0	0	0	1	No data	-0.9136238279095422	-0.8834156435927359	0	No data	-1	-0.7165825000000001	0.5	0
BARD1	0.3590621532399175	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.3445785534795869	0.15596671237969154	No data	No data	0	0	0	0	0	0	No data	0.212796469939327	-0.6992493381680317	-1	No data	-1	No data	-1	0
TOP1	0.35871436057074896	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0.49939951704024865	No data	No data	No data	0.6600158146411929	No data	No data	1	0	0	1	1	1	0.8627450000000003	0	-0.9891891891891892	No data	-1	-1	-1	0	-1	-1
SYK	0.35864938129072377	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.40031752204762067	No data	No data	1	1	0	1	1	1	0.5748049999999999	1	-0.8849420849420849	-0.9518936756683799	0	-1	No data	0	0.5	0
FGFR3	0.3582467992721713	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	0.19091614413200247	No data	No data	No data	0.41017823314010715	0.04041809770650443	No data	1	0	1	1	1	0	0.4354849999999999	1	-0.7324875896304468	-0.9424787278833985	0	-1	-1	-0.17804000000000003	0.5	0
KNL1	0.3563512060219008	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	0.19163417380607542	No data	No data	No data	No data	No data	No data	0.11573989168529245	0.2194170770648248	No data	No data	0	0	0	0	0	0	No data	-0.8321014892443463	-0.6429878436343874	-1	No data	No data	No data	0.75	0.5
QKI	0.3560554632697465	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	0.18850812769787248	No data	No data	No data	No data	No data	No data	0.29779743817676896	No data	No data	No data	0	0	0	0	0	1	No data	-0.74142305570877	-0.9608319324990972	0	No data	-1	0	0.5	-1
CLTCL1	0.35581169247911293	0.06139237392717758	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	0.04258135686707121	No data	0	No data	-1	-0.6173774999999999	0.75	0
WT1	0.3549746636341455	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	0.44074982826842524	No data	No data	No data	0.7996865433791431	No data	No data	0.75	0	0	0	0	0	0.6360149999999998	No data	-0.9221180364037507	-0.9704298426211866	0	No data	-1	0	0.5	0
FGFR4	0.35482865436901917	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	0.4011102929872218	No data	No data	0.1763674791737714	No data	No data	No data	0.6275308133066341	No data	No data	1	1	1	1	1	0	0.5074800000000004	1	-0.1473800330943188	0	0	No data	-1	-0.005610000000000071	0.5	0
PTPRT	0.3545984903701891	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.04238628616681025	0.24821101328880768	No data	No data	0	0	0	0	0	0.8993749999999998	No data	-0.8013237727523441	0	0	No data	-1	-0.14469250000000003	0.5	0.5
TSC1	0.3543781797802987	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.25980147886621213	No data	No data	No data	0	0	0	0	0	0.3599649999999997	No data	-0.9385548814120243	-0.9403318353365014	0	-1	-1	No data	-1	-1
NCOR2	0.35353443948980884	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.23204370466544427	No data	No data	No data	0	0	1	1	0	0.3695300000000003	0	-0.7423055708769994	-0.9375147721290766	0	-1	-1	0	-1	-1
BRCA2	0.35313715012169156	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.21897348780266437	No data	No data	No data	0	0	0	0	0	0	No data	-0.2824048538334253	-0.9475102956278109	0	No data	-1	No data	0.5	0.5
PTPRB	0.3529436281703529	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.21260690949806418	No data	No data	0.5	1	0	1	1	0	0	No data	-0.7249862107004964	-0.9142875150868576	0	-1	-1	0	-1	0
FHIT	0.35278578677408134	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.20741416726846487	No data	No data	No data	1	0	1	1	0	0.5578249999999997	No data	0.7257584114726972	-0.6909530054771251	0	No data	-1	0	1	-1
CTNNB1	0.3527385080898042	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	No data	No data	No data	No data	No data	0.20585877035609043	No data	No data	0.5	1	0	1	1	0	0.9936	No data	-0.9842250413678986	-0.9610337989605402	0	-1	-1	-0.12932249999999995	-1	-1
